location,displayName
"{'latitude': 35.088719399999995, 'longitude': -80.9314438}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.1631138, 'longitude': -80.97007239999999}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.143961, 'longitude': -80.9299924}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.2332527, 'longitude': -81.17037859999999}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.2267431, 'longitude': -81.1336791}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.0872446, 'longitude': -80.8496017}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.0894559, 'longitude': -80.8687236}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.2517293, 'longitude': -81.0431948}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.2595905, 'longitude': -81.1251978}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 34.985824099999995, 'longitude': -81.2119453}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 34.9507165, 'longitude': -81.06202929999999}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.1076154, 'longitude': -81.2115551}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 34.942086, 'longitude': -81.0354741}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.1198978, 'longitude': -81.0858976}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 34.9759323, 'longitude': -81.0046642}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 34.9722685, 'longitude': -80.9877858}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.060327799999996, 'longitude': -80.9921732}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.10357330000001, 'longitude': -80.9854871}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 34.9148826, 'longitude': -81.0037208}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 34.9404468, 'longitude': -80.9773584}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.088719399999995, 'longitude': -80.9314438}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.1631138, 'longitude': -80.97007239999999}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.2267431, 'longitude': -81.1336791}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.2332527, 'longitude': -81.17037859999999}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.143961, 'longitude': -80.9299924}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.2595905, 'longitude': -81.1251978}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.262766, 'longitude': -81.153491}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.2592772, 'longitude': -81.2168779}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.2517293, 'longitude': -81.0431948}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 34.985824099999995, 'longitude': -81.2119453}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 34.9507165, 'longitude': -81.06202929999999}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.1076154, 'longitude': -81.2115551}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.1198978, 'longitude': -81.0858976}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 34.942086, 'longitude': -81.0354741}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 34.9759323, 'longitude': -81.0046642}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.060327799999996, 'longitude': -80.9921732}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 34.9722685, 'longitude': -80.9877858}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.10357330000001, 'longitude': -80.9854871}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 34.9404468, 'longitude': -80.9773584}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 34.9148826, 'longitude': -81.0037208}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.1631138, 'longitude': -80.97007239999999}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.088719399999995, 'longitude': -80.9314438}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.143961, 'longitude': -80.9299924}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.2332527, 'longitude': -81.17037859999999}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.2267431, 'longitude': -81.1336791}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.2517293, 'longitude': -81.0431948}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.2595905, 'longitude': -81.1251978}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.0872446, 'longitude': -80.8496017}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.0894559, 'longitude': -80.8687236}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 34.985824099999995, 'longitude': -81.2119453}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.1076154, 'longitude': -81.2115551}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.1198978, 'longitude': -81.0858976}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 34.9507165, 'longitude': -81.06202929999999}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 34.942086, 'longitude': -81.0354741}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 34.9759323, 'longitude': -81.0046642}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.060327799999996, 'longitude': -80.9921732}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 34.9722685, 'longitude': -80.9877858}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.10357330000001, 'longitude': -80.9854871}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 34.9404468, 'longitude': -80.9773584}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 34.9148826, 'longitude': -81.0037208}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.088719399999995, 'longitude': -80.9314438}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.1631138, 'longitude': -80.97007239999999}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.2267431, 'longitude': -81.1336791}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.2332527, 'longitude': -81.17037859999999}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.143961, 'longitude': -80.9299924}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.2595905, 'longitude': -81.1251978}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.262766, 'longitude': -81.153491}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.2517293, 'longitude': -81.0431948}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.2592772, 'longitude': -81.2168779}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 34.985824099999995, 'longitude': -81.2119453}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.1076154, 'longitude': -81.2115551}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.1198978, 'longitude': -81.0858976}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 34.9507165, 'longitude': -81.06202929999999}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 34.942086, 'longitude': -81.0354741}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.060327799999996, 'longitude': -80.9921732}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 34.9759323, 'longitude': -81.0046642}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 34.9722685, 'longitude': -80.9877858}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 34.9148826, 'longitude': -81.0037208}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.10357330000001, 'longitude': -80.9854871}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 34.9404468, 'longitude': -80.9773584}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.088719399999995, 'longitude': -80.9314438}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.2267431, 'longitude': -81.1336791}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.2332527, 'longitude': -81.17037859999999}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.1631138, 'longitude': -80.97007239999999}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.2595905, 'longitude': -81.1251978}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.143961, 'longitude': -80.9299924}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.262766, 'longitude': -81.153491}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.2592772, 'longitude': -81.2168779}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.228086499999996, 'longitude': -81.33266549999999}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 34.985824099999995, 'longitude': -81.2119453}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.1076154, 'longitude': -81.2115551}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.1198978, 'longitude': -81.0858976}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 34.9507165, 'longitude': -81.06202929999999}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 34.942086, 'longitude': -81.0354741}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.060327799999996, 'longitude': -80.9921732}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 34.9759323, 'longitude': -81.0046642}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.10357330000001, 'longitude': -80.9854871}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 34.9722685, 'longitude': -80.9877858}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 34.9404468, 'longitude': -80.9773584}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 34.9148826, 'longitude': -81.0037208}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.1631138, 'longitude': -80.97007239999999}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.088719399999995, 'longitude': -80.9314438}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.2267431, 'longitude': -81.1336791}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.2332527, 'longitude': -81.17037859999999}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.143961, 'longitude': -80.9299924}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.2595905, 'longitude': -81.1251978}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.2517293, 'longitude': -81.0431948}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.262766, 'longitude': -81.153491}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.2592772, 'longitude': -81.2168779}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.1198978, 'longitude': -81.0858976}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.1076154, 'longitude': -81.2115551}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 34.985824099999995, 'longitude': -81.2119453}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 34.9507165, 'longitude': -81.06202929999999}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.060327799999996, 'longitude': -80.9921732}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 34.942086, 'longitude': -81.0354741}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.10357330000001, 'longitude': -80.9854871}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 34.9759323, 'longitude': -81.0046642}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 34.9722685, 'longitude': -80.9877858}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 34.9404468, 'longitude': -80.9773584}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.1631138, 'longitude': -80.97007239999999}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 34.9148826, 'longitude': -81.0037208}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.088719399999995, 'longitude': -80.9314438}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.143961, 'longitude': -80.9299924}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.2267431, 'longitude': -81.1336791}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.2332527, 'longitude': -81.17037859999999}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.2517293, 'longitude': -81.0431948}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.2595905, 'longitude': -81.1251978}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.262766, 'longitude': -81.153491}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.2592772, 'longitude': -81.2168779}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.1198978, 'longitude': -81.0858976}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.1076154, 'longitude': -81.2115551}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 34.985824099999995, 'longitude': -81.2119453}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.060327799999996, 'longitude': -80.9921732}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 34.9507165, 'longitude': -81.06202929999999}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.10357330000001, 'longitude': -80.9854871}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 34.942086, 'longitude': -81.0354741}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 34.9759323, 'longitude': -81.0046642}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 34.9722685, 'longitude': -80.9877858}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 34.9404468, 'longitude': -80.9773584}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.1631138, 'longitude': -80.97007239999999}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.088719399999995, 'longitude': -80.9314438}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 34.9148826, 'longitude': -81.0037208}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.2267431, 'longitude': -81.1336791}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.2332527, 'longitude': -81.17037859999999}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.143961, 'longitude': -80.9299924}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.2595905, 'longitude': -81.1251978}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.2517293, 'longitude': -81.0431948}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.262766, 'longitude': -81.153491}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.2592772, 'longitude': -81.2168779}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.1198978, 'longitude': -81.0858976}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.1076154, 'longitude': -81.2115551}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 34.985824099999995, 'longitude': -81.2119453}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.060327799999996, 'longitude': -80.9921732}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.10357330000001, 'longitude': -80.9854871}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 34.9507165, 'longitude': -81.06202929999999}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 34.942086, 'longitude': -81.0354741}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 34.9759323, 'longitude': -81.0046642}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 34.9722685, 'longitude': -80.9877858}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.1631138, 'longitude': -80.97007239999999}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 34.9404468, 'longitude': -80.9773584}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.088719399999995, 'longitude': -80.9314438}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.2267431, 'longitude': -81.1336791}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.2332527, 'longitude': -81.17037859999999}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 34.9148826, 'longitude': -81.0037208}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.143961, 'longitude': -80.9299924}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.2595905, 'longitude': -81.1251978}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.2517293, 'longitude': -81.0431948}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.262766, 'longitude': -81.153491}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.2592772, 'longitude': -81.2168779}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.1198978, 'longitude': -81.0858976}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.1076154, 'longitude': -81.2115551}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.060327799999996, 'longitude': -80.9921732}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.10357330000001, 'longitude': -80.9854871}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 34.9507165, 'longitude': -81.06202929999999}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 34.942086, 'longitude': -81.0354741}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 34.985824099999995, 'longitude': -81.2119453}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 34.9759323, 'longitude': -81.0046642}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 34.9722685, 'longitude': -80.9877858}","{'text': ""McDonald's"", 'languageCode': 'en'}"
"{'latitude': 35.1631138, 'longitude': -80.97007239999999}","{'text': ""McDonald's"", 'languageCode': 'en'}"
